micro_zona,estado,clientes,min_lat,max_lat,min_lng,max_lng
FU-R01-C01,FUERA,3,31.3963137,31.4710866,-64.2479445,-64.2185857
FU-R08-C01,FUERA,1,-16.5947821,-16.5947821,-67.7416636,-67.7416636
FU-R10-C01,FUERA,1030,-34.8392996,-29.8044312,-65.2827352,-58.5107327
FU-R10-C10,FUERA,1,-31.4243951,-31.4243951,64.1514852,64.1514852
IN-R01-C06,OK_COORD,1,-31.3547116,-31.3547116,-64.2279918,-64.2279918
IN-R01-C07,OK_COORD,3,-31.3565699,-31.349747,-64.2197786,-64.2153036
IN-R01-C08,OK_COORD,1,-31.3522618,-31.3522618,-64.2091114,-64.2091114
IN-R01-C11,OK_COORD,2,-31.3551951,-31.3537324,-64.1823844,-64.1821272
IN-R01-C12,OK_COORD,8,-31.3547377,-31.3497846,-64.1800548,-64.1740511
IN-R01-C13,OK_COORD,8,-31.3561704,-31.3532781,-64.1722518,-64.1666211
IN-R01-C14,OK_COORD,6,-31.35602,-31.3543026,-64.1643172,-64.1590388
IN-R01-C15,OK_COORD,1,-31.354866,-31.354866,-64.156861,-64.156861
IN-R01-C16,OK_COORD,1,-31.355862,-31.355862,-64.1494344,-64.1494344
IN-R02-C05,OK_COORD,7,-31.3621259,-31.3599065,-64.2348373,-64.2294541
IN-R02-C06,OK_COORD,15,-31.3634569,-31.3589145,-64.2290499,-64.2223885
IN-R02-C07,OK_COORD,15,-31.3623768,-31.3579667,-64.2172769,-64.213404
IN-R02-C08,OK_COORD,8,-31.3625799,-31.3572712,-64.212819,-64.2065337
IN-R02-C09,OK_COORD,2,-31.3630481,-31.3629917,-64.2020776,-64.2006934
IN-R02-C10,OK_COORD,3,-31.3600975,-31.3586632,-64.1933486,-64.1900585
IN-R02-C11,OK_COORD,2,-31.3606347,-31.3576002,-64.1890721,-64.185453
IN-R02-C12,OK_COORD,12,-31.3616286,-31.3579553,-64.1811956,-64.1761823
IN-R02-C13,OK_COORD,9,-31.3632857,-31.3571993,-64.1715679,-64.1660989
IN-R02-C14,OK_COORD,3,-31.3626381,-31.3570264,-64.1649018,-64.158633
IN-R02-C15,OK_COORD,5,-31.3634028,-31.3580018,-64.1573143,-64.1506621
IN-R02-C16,OK_COORD,4,-31.3596742,-31.3579451,-64.150174,-64.1483574
IN-R02-C18,OK_COORD,1,-31.3619933,-31.3619933,-64.1329933,-64.1329933
IN-R03-C04,OK_COORD,2,-31.3685961,-31.3646314,-64.2374234,-64.237366
IN-R03-C05,OK_COORD,4,-31.3694996,-31.3675192,-64.2364387,-64.2291244
IN-R03-C06,OK_COORD,11,-31.3700856,-31.3634632,-64.2263882,-64.2214623
IN-R03-C07,OK_COORD,8,-31.3701944,-31.3658224,-64.22117,-64.2145452
IN-R03-C08,OK_COORD,17,-31.3703144,-31.3635585,-64.2126329,-64.2064388
IN-R03-C09,OK_COORD,12,-31.3696321,-31.3648491,-64.2052994,-64.198848
IN-R03-C10,OK_COORD,6,-31.3696292,-31.3647008,-64.197137,-64.1910428
IN-R03-C11,OK_COORD,16,-31.3700021,-31.364155,-64.1868068,-64.1821685
IN-R03-C12,OK_COORD,8,-31.3699712,-31.3650044,-64.181018,-64.1740432
IN-R03-C13,OK_COORD,18,-31.3699906,-31.363761,-64.1721145,-64.1690799
IN-R03-C14,OK_COORD,14,-31.3696269,-31.3665672,-64.165757,-64.1588901
IN-R03-C15,OK_COORD,10,-31.3686407,-31.3645474,-64.1570295,-64.1502931
IN-R03-C16,OK_COORD,14,-31.3700057,-31.3657567,-64.1499562,-64.1444249
IN-R03-C17,OK_COORD,15,-31.3702007,-31.3651104,-64.1422189,-64.1347493
IN-R03-C18,OK_COORD,3,-31.3696323,-31.3673183,-64.1336721,-64.1320934
IN-R04-C03,OK_COORD,3,-31.3764354,-31.3735176,-64.249249,-64.248394
IN-R04-C04,OK_COORD,1,-31.3706485,-31.3706485,-64.2370761,-64.2370761
IN-R04-C05,OK_COORD,9,-31.3761963,-31.3719601,-64.2368088,-64.229714
IN-R04-C06,OK_COORD,7,-31.3734419,-31.3719543,-64.2288987,-64.2252292
IN-R04-C07,OK_COORD,12,-31.3756097,-31.3727367,-64.2193773,-64.2137385
IN-R04-C08,OK_COORD,10,-31.3757711,-31.3712792,-64.2108152,-64.2078751
IN-R04-C09,OK_COORD,10,-31.3759033,-31.3710161,-64.2048611,-64.1982924
IN-R04-C10,OK_COORD,5,-31.3767223,-31.3740688,-64.1968811,-64.1915211
IN-R04-C11,OK_COORD,14,-31.376478,-31.3704262,-64.1866197,-64.1824091
IN-R04-C12,OK_COORD,5,-31.3767048,-31.3723706,-64.1813026,-64.1747763
IN-R04-C13,OK_COORD,5,-31.3769615,-31.3711467,-64.173659,-64.1671866
IN-R04-C14,OK_COORD,9,-31.3769092,-31.373414,-64.1645818,-64.1582036
IN-R04-C15,OK_COORD,23,-31.3769431,-31.3707826,-64.1575672,-64.1505309
IN-R04-C16,OK_COORD,16,-31.3767607,-31.3703402,-64.150185,-64.1427216
IN-R04-C17,OK_COORD,18,-31.3770658,-31.3710675,-64.1421037,-64.1359904
IN-R04-C18,OK_COORD,18,-31.3771739,-31.3741914,-64.1344368,-64.128417
IN-R05-C03,OK_COORD,1,-31.3784765,-31.3784765,-64.2459593,-64.2459593
IN-R05-C04,OK_COORD,17,-31.3840058,-31.3792258,-64.2444731,-64.2372491
IN-R05-C05,OK_COORD,4,-31.3839899,-31.3825175,-64.2349113,-64.2315445
IN-R05-C06,OK_COORD,9,-31.383512,-31.3791846,-64.2290411,-64.2222965
IN-R05-C07,OK_COORD,5,-31.3839107,-31.3781016,-64.2205264,-64.2141058
IN-R05-C08,OK_COORD,5,-31.3791,-31.3772076,-64.2119073,-64.2086899
IN-R05-C09,OK_COORD,11,-31.3839615,-31.3783413,-64.2044113,-64.198881
IN-R05-C10,OK_COORD,18,-31.3837724,-31.3778897,-64.1973762,-64.191024
IN-R05-C11,OK_COORD,25,-31.3839137,-31.3771909,-64.1895993,-64.1819868
IN-R05-C12,OK_COORD,13,-31.3832816,-31.3780242,-64.18126,-64.1759587
IN-R05-C13,OK_COORD,10,-31.3838743,-31.379809,-64.1733139,-64.1666262
IN-R05-C14,OK_COORD,10,-31.3835825,-31.3786543,-64.1628535,-64.1586403
IN-R05-C15,OK_COORD,15,-31.3838714,-31.3784832,-64.1573341,-64.1510692
IN-R05-C16,OK_COORD,18,-31.3833389,-31.377207,-64.1491697,-64.1430932
IN-R05-C17,OK_COORD,20,-31.3837316,-31.3775382,-64.1422952,-64.1349083
IN-R05-C18,OK_COORD,12,-31.3839751,-31.377315,-64.1340585,-64.12943
IN-R05-C19,OK_COORD,1,-31.3790573,-31.3790573,-64.1191869,-64.1191869
IN-R06-C02,OK_COORD,7,-31.3904037,-31.3847922,-64.2597869,-64.2539168
IN-R06-C03,OK_COORD,11,-31.3907718,-31.385129,-64.252606,-64.2479131
IN-R06-C04,OK_COORD,2,-31.3908942,-31.3849184,-64.2384157,-64.238087
IN-R06-C05,OK_COORD,6,-31.3904913,-31.3847294,-64.2338657,-64.2299757
IN-R06-C06,OK_COORD,12,-31.3891051,-31.3844531,-64.2276735,-64.2214938
IN-R06-C07,OK_COORD,18,-31.3902087,-31.3847752,-64.2210166,-64.2133077
IN-R06-C08,OK_COORD,14,-31.3899304,-31.3851974,-64.2125176,-64.2057985
IN-R06-C09,OK_COORD,6,-31.3897415,-31.3843381,-64.2010216,-64.1983436
IN-R06-C10,OK_COORD,8,-31.3892961,-31.3851081,-64.1969939,-64.1901617
IN-R06-C11,OK_COORD,23,-31.3908491,-31.3840917,-64.1894952,-64.181876
IN-R06-C12,OK_COORD,17,-31.390517,-31.3844738,-64.1811937,-64.1741378
IN-R06-C13,OK_COORD,22,-31.3899629,-31.384151,-64.1737857,-64.1664046
IN-R06-C14,OK_COORD,20,-31.3907348,-31.384701,-64.1656376,-64.1583774
IN-R06-C15,OK_COORD,15,-31.390644,-31.3842198,-64.1579177,-64.1508156
IN-R06-C16,OK_COORD,14,-31.3903029,-31.3843566,-64.1496935,-64.1428134
IN-R06-C17,OK_COORD,22,-31.3905064,-31.3842393,-64.1420246,-64.1349685
IN-R06-C18,OK_COORD,14,-31.3899866,-31.3852141,-64.133376,-64.1274003
IN-R06-C19,OK_COORD,11,-31.3906363,-31.3866522,-64.1261557,-64.1201863
IN-R06-C20,OK_COORD,1,-31.3856363,-31.3856363,-64.1111201,-64.1111201
IN-R07-C01,OK_COORD,2,-31.3973257,-31.3946118,-64.265889,-64.264797
IN-R07-C02,OK_COORD,15,-31.3958043,-31.3930188,-64.2600066,-64.2544311
IN-R07-C03,OK_COORD,11,-31.3964244,-31.3914047,-64.2525909,-64.2454474
IN-R07-C04,OK_COORD,3,-31.3973282,-31.3940322,-64.2429677,-64.2397807
IN-R07-C05,OK_COORD,5,-31.3953594,-31.3922069,-64.2364348,-64.234236
IN-R07-C06,OK_COORD,9,-31.3969456,-31.3914639,-64.2258353,-64.2214476
IN-R07-C07,OK_COORD,8,-31.3977532,-31.3962738,-64.2207842,-64.2135732
IN-R07-C08,OK_COORD,27,-31.3974744,-31.3922104,-64.2128325,-64.206098
IN-R07-C09,OK_COORD,6,-31.3974102,-31.3909593,-64.2009051,-64.1976845
IN-R07-C10,OK_COORD,21,-31.3972625,-31.3916179,-64.1968929,-64.1902614
IN-R07-C11,OK_COORD,38,-31.3974455,-31.3909193,-64.1896196,-64.1822991
IN-R07-C12,OK_COORD,15,-31.396973,-31.3920132,-64.181743,-64.1744521
IN-R07-C13,OK_COORD,20,-31.3972929,-31.3909927,-64.1738577,-64.1660945
IN-R07-C14,OK_COORD,12,-31.3977128,-31.3920751,-64.1657567,-64.1593237
IN-R07-C15,OK_COORD,14,-31.3967187,-31.3912255,-64.1555072,-64.1509822
IN-R07-C16,OK_COORD,14,-31.3948473,-31.390933,-64.1497697,-64.1430399
IN-R07-C17,OK_COORD,16,-31.3951674,-31.3914528,-64.1416449,-64.1345481
IN-R07-C18,OK_COORD,8,-31.3944433,-31.3909709,-64.1341879,-64.1287427
IN-R07-C19,OK_COORD,3,-31.3952272,-31.3952272,-64.1232395,-64.1232395
IN-R08-C01,OK_COORD,3,-31.4015239,-31.3984896,-64.2664903,-64.2660597
IN-R08-C02,OK_COORD,6,-31.4035194,-31.398355,-64.2585345,-64.2530727
IN-R08-C03,OK_COORD,3,-31.4042385,-31.4027263,-64.2496013,-64.2466784
IN-R08-C04,OK_COORD,13,-31.4042218,-31.3995651,-64.2445695,-64.2372173
IN-R08-C05,OK_COORD,13,-31.404595,-31.400236,-64.2368644,-64.2290904
IN-R08-C06,OK_COORD,30,-31.4045084,-31.3978243,-64.228926,-64.2214505
IN-R08-C07,OK_COORD,31,-31.4045007,-31.3978603,-64.2211422,-64.2134488
IN-R08-C08,OK_COORD,18,-31.4044067,-31.3980903,-64.2124909,-64.2066526
IN-R08-C09,OK_COORD,22,-31.4036555,-31.3981699,-64.2053513,-64.197633
IN-R08-C10,OK_COORD,32,-31.4041388,-31.3986723,-64.197434,-64.1901189
IN-R08-C11,OK_COORD,21,-31.4042385,-31.3978066,-64.1891922,-64.1826019
IN-R08-C12,OK_COORD,24,-31.4035474,-31.3986544,-64.1813673,-64.1745194
IN-R08-C13,OK_COORD,23,-31.404532,-31.400268,-64.1731012,-64.1663781
IN-R08-C14,OK_COORD,20,-31.4044399,-31.3981459,-64.1656993,-64.158815
IN-R08-C15,OK_COORD,2,-31.4028269,-31.3982141,-64.1569457,-64.1555992
IN-R08-C17,OK_COORD,1,-31.3982719,-31.3982719,-64.1358968,-64.1358968
IN-R09-C01,OK_COORD,5,-31.4110873,-31.4080456,-64.2675582,-64.2632381
IN-R09-C02,OK_COORD,2,-31.4114351,-31.4092824,-64.2569625,-64.2530833
IN-R09-C03,OK_COORD,4,-31.4114586,-31.4062997,-64.2517142,-64.2452743
IN-R09-C04,OK_COORD,11,-31.4091469,-31.4050667,-64.2443707,-64.2375893
IN-R09-C05,OK_COORD,7,-31.4113058,-31.4049901,-64.2367299,-64.2297903
IN-R09-C06,OK_COORD,19,-31.4112828,-31.4048477,-64.2290168,-64.2217609
IN-R09-C07,OK_COORD,22,-31.410272,-31.4050037,-64.2206699,-64.2137836
IN-R09-C08,OK_COORD,41,-31.411412,-31.4046581,-64.2132131,-64.2054575
IN-R09-C09,OK_COORD,46,-31.411434,-31.4056626,-64.2054098,-64.1976995
IN-R09-C10,OK_COORD,45,-31.4114478,-31.4046942,-64.1975247,-64.1896608
IN-R09-C11,OK_COORD,34,-31.4114609,-31.4075913,-64.1896467,-64.1821632
IN-R09-C12,OK_COORD,27,-31.4103149,-31.4048935,-64.18171,-64.178476
IN-R09-C13,OK_COORD,18,-31.4113513,-31.4055403,-64.1736197,-64.1669111
IN-R09-C14,OK_COORD,39,-31.411399,-31.404803,-64.1659835,-64.1581822
IN-R09-C15,OK_COORD,24,-31.4113049,-31.4048153,-64.1580429,-64.1511884
IN-R09-C16,OK_COORD,3,-31.4091257,-31.4091257,-64.1491084,-64.1491084
IN-R10-C01,OK_COORD,5,-31.4182113,-31.4130524,-64.2637945,-64.2615727
IN-R10-C02,OK_COORD,7,-31.4181821,-31.4115639,-64.2590614,-64.255734
IN-R10-C03,OK_COORD,1,-31.4179486,-31.4179486,-64.250898,-64.250898
IN-R10-C04,OK_COORD,5,-31.4177236,-31.412772,-64.2419867,-64.2369958
IN-R10-C05,OK_COORD,8,-31.4180078,-31.4116707,-64.236497,-64.2296018
IN-R10-C06,OK_COORD,13,-31.4180815,-31.4122437,-64.2286318,-64.2213988
IN-R10-C07,OK_COORD,9,-31.4158011,-31.4137245,-64.22074,-64.2135249
IN-R10-C08,OK_COORD,16,-31.4182727,-31.4118715,-64.2129659,-64.2056768
IN-R10-C09,OK_COORD,35,-31.4179501,-31.4117125,-64.2045112,-64.1976296
IN-R10-C10,OK_COORD,72,-31.4180107,-31.4114775,-64.1975118,-64.1897061
IN-R10-C11,OK_COORD,93,-31.4182786,-31.4115494,-64.1894861,-64.1819675
IN-R10-C12,OK_COORD,49,-31.4181278,-31.4115352,-64.181747,-64.1754676
IN-R10-C13,OK_COORD,62,-31.4179315,-31.4114727,-64.1733293,-64.1660414
IN-R10-C14,OK_COORD,35,-31.4179055,-31.4115034,-64.1655535,-64.1588697
IN-R10-C15,OK_COORD,10,-31.4152434,-31.4114847,-64.1571518,-64.1509719
IN-R10-C16,OK_COORD,4,-31.4131347,-31.4114942,-64.1496382,-64.1480829
IN-R10-C17,OK_COORD,7,-31.4162475,-31.4142408,-64.1407327,-64.1369159
IN-R10-C18,OK_COORD,1,-31.4167451,-31.4167451,-64.1343641,-64.1343641
IN-R11-C01,OK_COORD,6,-31.4235717,-31.4218902,-64.2684557,-64.2638794
IN-R11-C03,OK_COORD,1,-31.4205608,-31.4205608,-64.2509866,-64.2509866
IN-R11-C04,OK_COORD,6,-31.4248559,-31.4194319,-64.2440272,-64.2373017
IN-R11-C05,OK_COORD,4,-31.4236345,-31.4188611,-64.2358103,-64.230552
IN-R11-C06,OK_COORD,10,-31.4249748,-31.4185579,-64.2288722,-64.2216643
IN-R11-C07,OK_COORD,29,-31.4246421,-31.4185325,-64.2208487,-64.2135239
IN-R11-C08,OK_COORD,17,-31.4243014,-31.418383,-64.2115581,-64.2068272
IN-R11-C09,OK_COORD,24,-31.4249292,-31.4185145,-64.2050265,-64.1975971
