zone_code,zone_name,clientes_reales,microzonas
ZN01,ZN01,185,IN-R11-C12 | IN-R12-C12 | IN-R13-C12 | IN-R13-C13 | IN-R13-C14 | IN-R14-C14 | IN-R15-C13 | IN-R15-C14 | IN-R15-C15 | IN-R16-C15 | IN-R17-C13 | IN-R17-C14 | IN-R17-C15 | IN-R17-C16 | IN-R18-C13
ZN02,ZN02,184,IN-R10-C07 | IN-R10-C08 | IN-R10-C09 | IN-R10-C10 | IN-R11-C08 | IN-R11-C09 | IN-R12-C08
ZN03,ZN03,187,IN-R09-C13 | IN-R10-C13 | IN-R11-C13 | IN-R12-C13 | IN-R12-C14 | IN-R12-C15 | IN-R13-C15 | IN-R14-C15 | IN-R14-C16 | IN-R14-C20 | IN-R15-C16 | IN-R15-C17 | IN-R15-C18 | IN-R15-C19 | IN-R15-C20 | IN-R16-C18 | IN-R17-C18
ZN04,ZN04,184,IN-R05-C07 | IN-R06-C07 | IN-R06-C08 | IN-R07-C07 | IN-R07-C08 | IN-R08-C07 | IN-R08-C08 | IN-R09-C07 | IN-R09-C08
ZN05,ZN05,186,IN-R12-C09 | IN-R12-C10 | IN-R12-C11 | IN-R13-C07 | IN-R13-C08 | IN-R13-C09 | IN-R13-C10 | IN-R14-C04 | IN-R14-C05 | IN-R14-C06 | IN-R14-C07 | IN-R15-C05 | IN-R15-C07
ZN06,ZN06,345,IN-R08-C15 | IN-R09-C14 | IN-R09-C15 | IN-R09-C16 | IN-R10-C14 | IN-R10-C15 | IN-R10-C16 | IN-R10-C17 | IN-R10-C18 | IN-R11-C14 | IN-R11-C15 | IN-R11-C16 | IN-R11-C17 | IN-R11-C18 | IN-R11-C19 | IN-R11-C20 | IN-R12-C16 | IN-R12-C17 | IN-R12-C18 | IN-R12-C19 | IN-R12-C20 | IN-R13-C16 | IN-R13-C17 | IN-R13-C18 | IN-R13-C19 | IN-R13-C20 | IN-R14-C17 | IN-R14-C18 | IN-R14-C19
ZN07,ZN07,186,IN-R05-C09 | IN-R06-C09 | IN-R06-C10 | IN-R06-C11 | IN-R06-C12 | IN-R07-C09 | IN-R07-C10 | IN-R07-C11 | IN-R07-C12 | IN-R07-C13 | IN-R08-C11
ZN08,ZN08,176,IN-R09-C11 | IN-R10-C11 | IN-R10-C12
ZN09,ZN09,145,IN-R08-C09 | IN-R08-C10 | IN-R09-C09 | IN-R09-C10
ZN10,ZN10,186,IN-R05-C04 | IN-R06-C04 | IN-R07-C01 | IN-R07-C04 | IN-R07-C05 | IN-R08-C01 | IN-R08-C02 | IN-R08-C03 | IN-R08-C04 | IN-R08-C05 | IN-R08-C06 | IN-R09-C01 | IN-R09-C02 | IN-R09-C03 | IN-R09-C04 | IN-R09-C05 | IN-R09-C06 | IN-R10-C01 | IN-R10-C02 | IN-R10-C03 | IN-R10-C04 | IN-R10-C06 | IN-R11-C01 | IN-R11-C03 | IN-R12-C01
ZN11,ZN11,188,IN-R10-C05 | IN-R11-C04 | IN-R11-C05 | IN-R11-C06 | IN-R11-C07 | IN-R12-C03 | IN-R12-C04 | IN-R12-C05 | IN-R12-C06 | IN-R12-C07 | IN-R13-C03 | IN-R13-C04 | IN-R13-C05 | IN-R13-C06 | IN-R14-C03 | IN-R15-C02 | IN-R15-C03
ZN12,ZN12,124,IN-R16-C07 | IN-R16-C10 | IN-R17-C07 | IN-R17-C08 | IN-R17-C09 | IN-R17-C10 | IN-R17-C11 | IN-R18-C08 | IN-R18-C09 | IN-R18-C11 | IN-R19-C09 | IN-R19-C10 | IN-R19-C11 | IN-R19-C13 | IN-R20-C07 | IN-R20-C08 | IN-R20-C09 | IN-R20-C11 | IN-R20-C12 | IN-R20-C13
